[0.000000] (-) TimerEvent: {}
[0.000193] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000286] (-) JobUnselected: {'identifier': 'joint_trajectory_bridge'}
[0.000368] (-) JobUnselected: {'identifier': 'launch_param_builder'}
[0.000385] (-) JobUnselected: {'identifier': 'moveit'}
[0.000401] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000416] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000430] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000444] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000458] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000472] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000485] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000499] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000513] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000526] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000539] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000551] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000564] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000576] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000589] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000601] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000614] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000626] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000638] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000650] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000662] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000675] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000687] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000699] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000711] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000723] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000735] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000748] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000760] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000772] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000784] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000796] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000808] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000820] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000832] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000844] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000856] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000877] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000889] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000902] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000914] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000926] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000938] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000950] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000962] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000974] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000986] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000998] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001010] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001022] (-) JobUnselected: {'identifier': 'robot_scripts'}
[0.001034] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.001046] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001063] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.001076] (-) JobUnselected: {'identifier': 'yolov8_detector'}
[0.001089] (-) EventReactorShutdown: {}
